build_id,image_name,implementation,width,height,bit_depth,is_grayscale,histogram_us,scan_us,norm_scale_us,h2d_us,h2d_bytes,d2h_us,d2h_bytes
1776697871,lamp_16b.png,naive.cl,450,500,16,false,56,2241,13577,108,1350000,105,1350000
1776697871,lamp_16b.png,optimized.cl,450,500,16,false,475,2241,4,108,1350000,105,1350000
1776697871,land_16b.png,naive.cl,1039,789,16,false,58,2240,13596,412,4918626,906,4918626
1776697871,land_16b.png,optimized.cl,1039,789,16,false,1334,2241,4,399,4918626,616,4918626
1776697871,robot_16b.png,naive.cl,450,450,16,false,27,2242,13368,99,1215000,95,1215000
1776697871,robot_16b.png,optimized.cl,450,450,16,false,389,2241,4,99,1215000,94,1215000
1776697873,test_16b.png,naive.cl,1024,683,16,true,40,2241,10251,113,1398784,108,1398784
1776697873,test_16b.png,optimized.cl,1024,683,16,true,1214,2241,5,115,1398784,108,1398784
1776697873,moon_16bit.png,naive.cl,560,420,16,false,16,2241,13342,113,1411200,109,1411200
1776697873,moon_16bit.png,optimized.cl,560,420,16,false,460,2241,4,113,1411200,109,1411200
1776697873,wires_16b.png,naive.cl,326,326,16,false,10,2240,13364,51,637656,49,637656
1776697873,wires_16b.png,optimized.cl,326,326,16,false,265,2242,4,54,637656,49,637656
1776697873,color_gradient_16bit.png,naive.cl,512,512,16,false,21,2243,12368,127,1572864,122,1572864
1776697873,color_gradient_16bit.png,optimized.cl,512,512,16,false,456,2241,4,126,1572864,122,1572864
1776697873,building_16b.png,naive.cl,720,680,16,false,35,2241,13487,231,2937600,336,2937600
1776697873,building_16b.png,optimized.cl,720,680,16,false,828,2241,4,231,2937600,326,2937600
1776697873,paint_16b.png,naive.cl,500,375,16,false,12,2241,12809,91,1125000,88,1125000
1776697873,paint_16b.png,optimized.cl,500,375,16,false,400,2241,4,90,1125000,88,1125000
1776697873,cars_16b.png,naive.cl,370,415,16,false,10,2241,13035,74,921300,70,921300
1776697873,cars_16b.png,optimized.cl,370,415,16,false,310,2240,4,75,921300,70,921300
1776697873,lamp_16b.png,naive.cl,450,500,16,false,56,2241,13577,108,1350000,105,1350000
1776697873,lamp_16b.png,optimized.cl,450,500,16,false,472,2241,4,108,1350000,105,1350000
1776697873,land_16b.png,naive.cl,1039,789,16,false,58,2241,13597,398,4918626,710,4918626
1776697873,land_16b.png,optimized.cl,1039,789,16,false,1331,2241,4,398,4918626,639,4918626
1776697873,robot_16b.png,naive.cl,450,450,16,false,28,2242,13368,98,1215000,95,1215000
1776697873,robot_16b.png,optimized.cl,450,450,16,false,390,2240,4,96,1215000,95,1215000
1776697874,test_16b.png,naive.cl,1024,683,16,true,40,2241,10251,113,1398784,108,1398784
1776697874,test_16b.png,optimized.cl,1024,683,16,true,1227,2240,4,114,1398784,108,1398784
1776697874,moon_16bit.png,naive.cl,560,420,16,false,19,2244,13342,112,1411200,109,1411200
1776697874,moon_16bit.png,optimized.cl,560,420,16,false,463,2241,4,112,1411200,109,1411200
1776697874,wires_16b.png,naive.cl,326,326,16,false,10,2241,13364,53,637656,49,637656
